hour,nl,de,uk
2128,29065.5,23660.5,26684.5
2129,28592,24027,28290.5
2130,28711.5,24692.5,29502
2131,29178.5,25944.5,30243.5
2132,29521,30001,30781.5
2133,29940.5,32444.5,30931
2134,28461.5,32972.5,30307
2135,26962,32793.5,29645.5
2136,24891.5,32893,29377.5
2137,23337.5,33137.5,30297.5
2138,22585,32514,32051
2139,22349,32097.5,31951
2140,22614,31454.5,31058.5
2141,23307,31079.5,29497
2142,24169.5,30602.5,28612
2143,26643.5,30892.5,28602.5
2144,29162,31592.5,27081.5
2145,30599.5,33043,25756.5
2146,30728.5,32072,24949
2147,30650.5,30044,24593
2148,30996.5,28113,24222
2149,30650,25701.5,24135.5
2150,30344,24206.5,23990
2151,30052.5,23735.5,24216.5
2152,29381.5,23419,26130
2153,29093.5,23689.5,27767.5
2154,29176.5,24397,29038
2155,29979,25877,29762
2156,30523,29595,30347
2157,30973.5,31905,30438.5
2158,29278,32496.5,29765
2159,27592,32471,29211
2160,25379,32522,28919.5
2161,25187,32856.5,29784
2162,24520.5,32445.5,31523
2163,24132,32234,31447
2164,24368.5,32076.5,30534.5
2165,25104.5,31945.5,29045.5
2166,26051.5,31628,27965
2167,28548,31878,27551
2168,30763,32391,26082.5
2169,31873,33500,24766.5
2170,32651.5,32112.5,23787.5
2171,33483.5,30121,23157.5
2172,33807.5,28215,22734
2173,33214,25876,22661.5
2174,32621,24154,22512.5
2175,32322.5,23384.5,21856.5
2176,31688,23249,22397
2177,30928.5,23513.5,23537
2178,30139.5,24254,25190
2179,30191,25592.5,26142
2180,30125,29303.5,26954
2181,30280.5,31829,27238.5
2182,28722.5,32865,26627
2183,27466,33002,26011.5
2184,25386,33485.5,25710
2185,23640.5,33823,26563.5
2186,22915,33225,28281
2187,22763.5,32196,27798.5
2188,22711,31097,26343.5
2189,22557,30521.5,24795.5
2190,21992,29905,24543.5
2191,20600,30311,25604
2192,20261.5,30829.5,25549.5
2193,21069.5,32332,22711.5
2194,21808,31215.5,22479
2195,22300,29213,21678.5
2196,23170,27540,20788.5
2197,22991,25221.5,20119.5
2198,22054,23316.5,19573
2199,20847.5,22400,18707.5
2200,20587.5,21935.5,18422
2201,20558.5,21943.5,18539.5
2202,21507.5,22332,19449.5
2203,22782,22277.5,20492
2204,23688.5,23072,21778
2205,24981.5,24336,22584
2206,24391,26066,22503
2207,24008,27630.5,22256.5
2208,22312.5,28457.5,22344.5
2209,21062,28953.5,23534.5
2210,20378.5,28544,25220
2211,20215.5,27492.5,25710
2212,20121,26551.5,25175.5
2213,20587.5,25960,24300
2214,20916.5,25822.5,23755.5
2215,20831.5,26358,24234.5
2216,21465.5,27231,23175.5
2217,22944,28370.5,21865.5
2218,23890.5,26947,20823.5
2219,24153.5,25478.5,20275
2220,24440,24607.5,19972
2221,24163,22571,19981
2222,23587,20989.5,19802
2223,23361.5,20065.5,19511.5
2224,23336,19456.5,20747
2225,23457.5,19784,22436.5
2226,23924.5,20298.5,24104.5
2227,24643,20502.5,25039
2228,25042,20669,25828
2229,25424.5,21003,26128.5
2230,24750,21861.5,25720
2231,24246,22705.5,25401
2232,22404,23417,25479.5
2233,20580,24360,26296
2234,19376,24166,28621.5
2235,19039.5,23181,28811.5
2236,19142.5,22554.5,28197.5
2237,19325.5,22166,26604.5
2238,19287.5,22326.5,25875.5
2239,19010.5,23217.5,26168.5
2240,19046.5,24826,25065.5
2241,20453,26966.5,23631.5
2242,21454,26473.5,22616
2243,22213,25237,21828.5
2244,23063,24284.5,21062.5
2245,22317,22348,20813
2246,21152,20996.5,20365
2247,20613.5,20986.5,19664.5
2248,20243,20869,20068.5
2249,20126.5,21142.5,20786.5
2250,20848,21593.5,21961
2251,21969,23246,23151
2252,22553,27853,24445.5
2253,23233,30718.5,24846
2254,23114,32045,24211
2255,22945,32176,23760.5
2256,21309.5,32551,23691
2257,19971,33073,24946.5
2258,19465,32671,27064.5
2259,19248.5,32370.5,27611.5
2260,19095.5,31968.5,27034.5
2261,19475,31621,25983
2262,19463,30801,25546
2263,19139,30882.5,26078.5
2264,19423,31696,24897.5
2265,20521.5,33476,23602
2266,21811.5,32125,22470.5
2267,22581,30087,21876.5
2268,23146,27863,21602.5
2269,22828.5,25482.5,21785.5
2270,22021,23916.5,22285
2271,21158.5,23477,24096.5
2272,20631,23010,26778
2273,20399.5,23157.5,28428.5
2274,21200.5,23565,29459.5
2275,22288,24756.5,30162
2276,23022,28875,30747.5
2277,24274.5,31949,30966
2278,24211,32701,30635
2279,23997,32766,30332.5
2280,22290,33420,30130.5
2281,20893.5,33952,30674.5
2282,20550.5,33531.5,32592
2283,20792.5,33356.5,32475
2284,21059,32811.5,31953.5
2285,21920,32324,30474
2286,23347,31641,29602.5
2287,26537,31664.5,29173.5
2288,29164.5,32093,27775.5
2289,30533,33584.5,26648.5
2290,30513.5,31954,25581.5
2291,30481,29827,24860.5
2292,30624.5,27866,24461
2293,29943,25289.5,24601.5
2294,29374.5,23923,25320
2295,28711,23468.5,27392.5
2296,28230,22716.5,30496
2297,27660,22968,31985
2298,28025.5,23421,32391.5
2299,28826,24823.5,32705.5
2300,29472,29074.5,33135.5
2301,30385.5,32091.5,33244
2302,29572.5,32736.5,33066
2303,28072,32569,32624
2304,25866.5,32895.5,32347
2305,24290.5,33405,32681.5
2306,23627,32945,34141.5
2307,23076.5,32763.5,34488
2308,23126,32211.5,33932.5
2309,23696.5,31833,32393.5
2310,24610,31081,30971
2311,27724,31226,30418.5
2312,29987.5,32004.5,28451.5
2313,30946.5,33589,26997.5
2314,30779.5,31901.5,25907.5
2315,30552,29737.5,25160.5
2316,30663.5,27638.5,24727
2317,30182,25288.5,24779.5
2318,29556.5,23875,25266.5
2319,28922,23480.5,27033
2320,28791.5,23031.5,29734
2321,28640.5,23101,30972.5
2322,28807,23569.5,31416.5
2323,29351,24948,31942
2324,30078.5,28993,32469
2325,31157.5,32205.5,32497
2326,30015.5,32963.5,32064
2327,27958.5,32996.5,31562.5
2328,25530.5,33410.5,31358
2329,23504.5,33992,31695
2330,23172,33557,33262
2331,22949,32927,33824
2332,23087,32364.5,33219.5
2333,23739,32026,31654
2334,24998,31322.5,30611
2335,27843,31612.5,30286.5
2336,30042,32267,28555.5
2337,31172,33448.5,27030.5
2338,31254,31690,25844
2339,31701.5,29599.5,25145
2340,31886,27653,24752
2341,31367,25112,25020
2342,30922,23815.5,26125.5
2343,30327,23451,28832
2344,30090.5,23143,32243
2345,29675,23339,33329.5
2346,29687.5,23940.5,33398
2347,30270,25445,33644.5
2348,30779,29383.5,33934
2349,31218,32395,33906
2350,30135,33229.5,33593
2351,28461.5,33360,33159
2352,26071.5,33811.5,33035.5
2353,24402.5,34348.5,33128
2354,23502,33800.5,34765
2355,23584,32959,35162.5
2356,23740,31756.5,34683
2357,24377.5,30943,33170
2358,25325,30200,31869
2359,27856,30355,31076.5
2360,30470,31038,29230.5
2361,31671,32791.5,27670.5
2362,31849.5,31273.5,26576.5
2363,32119,29385.5,25792.5
2364,32307.5,27830,25255
2365,31601.5,25497,25448.5
2366,30726.5,23555,26392
2367,30040,22529.5,28774
2368,29596,21831.5,32035.5
2369,29265.5,22050.5,33156.5
2370,29402,22275.5,33392.5
2371,29672.5,22696.5,33700.5
2372,29842,23179.5,34013.5
2373,29830,24437,34034.5
2374,29021.5,25764,33394
2375,27578,26908,32872.5
2376,25431,27569.5,32533
2377,23516,27796.5,32832
2378,22681.5,27179,34554
2379,22142,26050.5,34785.5
2380,22490,25438.5,33913
2381,22863.5,25082,32110
2382,22762,24829,30992.5
2383,22290.5,25390,30705.5
2384,23027.5,26567.5,29278
2385,24781,28375,28178.5
2386,26001,27034,27178.5
2387,26312.5,25304,26477.5
2388,26708.5,24229,25922.5
2389,26008,22263,25701.5
2390,25190.5,20645.5,25485
2391,24677,19917,25202.5
2392,24550.5,19864.5,26288
2393,24362,20303.5,27803.5
2394,25050.5,20429.5,29356
2395,25662,20521.5,30407
2396,25905,20417,31098.5
2397,25802.5,20561,31301
2398,25173,21497,30785.5
2399,24608,22416.5,29939
2400,22808.5,23349.5,29694
2401,21375,24348,30114.5
2402,20560,23811,31618
2403,20369,22586.5,32149.5
2404,20701,21584,31339
2405,21097,21192.5,29667.5
2406,21009,21309.5,28848.5
2407,20428,22542.5,28970.5
2408,20382,24431.5,28032.5
2409,21345,26584.5,26655.5
2410,22440,25591,25500
2411,23640.5,24627,24795
2412,24834.5,24098,24053.5
2413,24405.5,22268,23569
2414,23347.5,21150,22872.5
2415,22518,20890.5,21729
2416,22105,21111,22085
2417,21945,21334.5,23361
2418,22779.5,22230.5,24873
2419,23866.5,23524,25873
2420,24535,27734.5,27199
2421,25439.5,30937,27271.5
2422,25579,32001.5,26305.5
2423,25489.5,32070,25629
2424,23783,32236.5,25442
2425,22626.5,32510,25974.5
2426,22162.5,32091,28310
2427,21964.5,31532.5,29561.5
2428,22429.5,30877.5,29396.5
2429,23306.5,30601,28276.5
2430,24721.5,30064.5,27580
2431,28421.5,30476.5,28053
2432,31253.5,31524,26906
2433,32518,33331,25765
2434,32776,31619,24755
2435,33264.5,29710,24301
2436,33601,27846.5,24052
2437,32985,25520,24308
2438,32451.5,23919.5,25433
2439,31899.5,23449.5,28544.5
2440,31698,23252,31721.5
2441,31079.5,23537.5,33046.5
2442,30943,24361,33462
2443,30895,25644,33898
2444,30970,28812,34449
2445,31345,31804,34515.5
2446,30617.5,32540,34262
2447,28986,32705,33755.5
2448,26507,33026.5,33446
2449,24746.5,33489.5,33424.5
2450,23521,32979.5,34736.5
2451,23224.5,32467,35258.5
2452,23596.5,31838.5,34866.5
2453,24366,31318,33429
2454,25751,30866,32132.5
2455,28949.5,31164.5,31483.5
2456,31515,32213.5,29526.5
2457,32422,33728.5,27936.5
2458,32407,31943.5,26887
2459,32508,30129,26269
2460,32796.5,28346,25977.5
2461,32647,25869.5,26151
2462,32343.5,24664,27135.5
2463,31676,24005.5,30418.5
2464,31397,23705,33802
2465,30673.5,24156.5,34857.5
2466,30681.5,24894.5,34860.5
2467,30907,26183.5,35017.5
2468,31129.5,29523,35113
2469,31481.5,31956.5,35231
2470,30573.5,32795.5,34975.5
2471,28826,32948,34540.5
2472,26054.5,33339.5,34333
2473,24223.5,33761.5,34463
2474,23537.5,33213,36017
2475,23193.5,32612.5,36565
2476,23563,31882.5,36079.5
2477,24132,31247.5,34463
2478,25372,30710,33163
2479,28971.5,31014.5,32198.5
2480,31424.5,32110.5,30296.5
2481,32336,33770,28854.5
2482,32337.5,31932,27906
2483,32572,30192,27175.5
2484,33062.5,28603.5,26740.5
2485,32899,26169.5,27030.5
2486,32643.5,24693,28017
2487,32080.5,24301.5,31087
2488,31641.5,23974,34488
2489,30875.5,24190.5,35596.5
2490,30927,24924,35553
2491,31134,25920,35831.5
2492,31433,29225.5,36042
2493,31556,32063,35863.5
2494,30558.5,33053,35774.5
2495,28807.5,33306.5,35385
2496,26394.5,33807.5,35193
2497,24249,34302,35177
2498,23350,33921.5,36566.5
2499,23212.5,33379,36996
2500,23507.5,32693,36370
2501,23954,32223,34464
2502,25213.5,31549,32952
2503,28847.5,31887.5,32119
2504,31237.5,32998,30272.5
2505,32064,33828,28093
2506,32029,31997.5,27029
2507,32328.5,30230,26247.5
2508,32803,28730.5,25968.5
2509,32546,26330,26051.5
2510,32191.5,24766.5,27090.5
2511,31585,24007,29962.5
2512,31060,23866.5,33189
2513,30408,24116,34230.5
2514,30483,24838.5,34296.5
2515,30889.5,26010,34571
2516,30990,29119.5,34918
2517,31186.5,32140.5,34899
2518,30355.5,33212.5,34634.5
2519,28468,33607.5,34115
2520,25658,34180.5,33760.5
2521,23757,34633,33620
2522,23085.5,34291,35046.5
2523,23111,33542,35506.5
2524,23403,32583.5,34889.5
2525,24249.5,32060.5,33162
2526,25651.5,31492.5,31614
2527,28670,31602.5,30802.5
2528,31049.5,32527,28887.5
2529,32216,32891,27336
2530,32406.5,30462.5,26302
2531,32592,28750,25723.5
2532,32463.5,27738,25467.5
2533,31667,25658,25718.5
2534,30768,23780,26748
2535,30196.5,22604,29487
2536,29484.5,22083.5,32816.5
2537,29017,22182.5,33992
2538,29351,22628,34141
2539,29647,22585,34569
2540,29647,22845.5,34900.5
2541,29644.5,24422,34670.5
2542,29169.5,26325,34173
2543,28149.5,28052,33405.5
2544,25851,29250,33025.5
2545,23777,29859.5,32929.5
2546,22700,29344,34175
2547,22496,28340,34519.5
2548,23002,27543.5,33737.5
2549,23220,27201,31930.5
2550,23038.5,26877.5,30518.5
2551,22265,27448,30069
2552,23078,28741.5,28471
2553,24628.5,28962.5,26966
2554,25303.5,27047.5,25817
2555,25325.5,25544.5,25082
2556,25158.5,25013.5,24608.5
2557,24522.5,23666,24394.5
2558,23655,22007.5,23976.5
2559,23128,21048.5,23730
2560,22832,20528.5,25232
2561,22685.5,20771,26927
2562,23399.5,21029,28458
2563,24528.5,20931,29339
2564,24889,20598.5,29971.5
2565,25052.5,20874.5,29810
2566,24964,21929,29029.5
2567,24440,23606,28443.5
2568,22678,25133.5,28387.5
2569,21082,26558.5,28729
2570,19910.5,26380.5,30523
2571,19273.5,25281,31423.5
2572,19663.5,24538,30717
2573,20229.5,23918.5,28914
2574,20382.5,23544,28191
2575,19730,24185.5,28307.5
2576,19906,26075.5,27174.5
2577,20637,27216,25967
2578,21333,26058.5,24741
2579,22010,25456,23768
2580,22808.5,25483,23369
2581,21975.5,23870,23016.5
2582,20640,22615.5,22188
2583,19737.5,21869,21162
2584,19474,22021.5,21350.5
2585,19572.5,22296,22620
2586,20810.5,23008,24339.5
2587,22486,24361.5,25585
2588,23465,28004,26882.5
2589,24361.5,31324.5,26860.5
2590,24837.5,32588.5,25932.5
2591,24427.5,33020.5,25181.5
2592,22493,33520,24852.5
2593,20968.5,34000.5,25035
2594,20125.5,33659.5,27113.5
2595,20380.5,33271.5,28518
2596,20951.5,32544,28316.5
2597,21891.5,32133,27258.5
2598,23675.5,31261.5,26681
2599,27456.5,31354.5,26989
2600,29957,32740.5,25511.5
2601,30631.5,33691.5,24177.5
2602,30385.5,31831,23199.5
2603,30442,30164,22711.5
2604,30574.5,28798.5,22675
2605,30220.5,26510.5,23202.5
2606,29918.5,25108,24564.5
2607,29378,24795,27494.5
2608,28926,24349.5,30916.5
2609,28357,24575,32369
2610,28551,25306.5,32780
2611,29309,26494.5,33038.5
2612,29675.5,29473,33643.5
2613,29807.5,32536.5,33502.5
2614,29398.5,33690,33343.5
2615,27398.5,33878.5,32829
2616,24591.5,34475.5,32513
2617,23101,34843,32353.5
2618,22414,34553.5,33718.5
2619,22293.5,34307.5,34335.5
2620,22826,33724,33782.5
2621,23424.5,33266,32128
2622,24818.5,32455,30791
2623,27872,32354,29874
2624,30288,33319.5,27535
2625,31036.5,33869,25770.5
2626,30585.5,31877,24868.5
2627,30986,30273.5,24521.5
2628,31467.5,28804.5,24528
2629,31212.5,26769,25052.5
2630,31027.5,25130,26190.5
2631,30476,24705,29258
2632,30313.5,24558.5,32651
2633,29673,24372.5,33912
2634,29772.5,24881,33907.5
2635,30461,26040.5,34159
2636,30620,29060.5,34399
2637,30253,32292.5,34181.5
2638,29673.5,33414.5,33879
2639,27750,33700.5,33362
2640,25469.5,34297,33176
2641,23587,34794.5,33072.5
2642,23008,34509,34356
2643,23058,34281,34934.5
2644,23514,33766.5,34485
2645,24036,32968.5,32666.5
2646,25073.5,32205.5,31250
2647,28366.5,32439,30203.5
2648,30824,33992,27972.5
2649,31989,34735.5,26306.5
2650,31966,33457.5,25429.5
2651,32005,32219,24833.5
2652,32468,31119.5,24841.5
2653,32243.5,29013.5,25248.5
2654,32080,27701,26317.5
2655,31534,27046.5,29356
2656,31241,26607.5,32856.5
2657,30881.5,26505.5,33949.5
2658,30998,26363,33917.5
2659,31246,26682.5,34028.5
2660,30823.5,29831,34190.5
2661,30410,32933.5,33844
2662,30114.5,33661.5,33548
2663,28410,33744,33155.5
2664,25745,34321.5,33022.5
2665,24125,34900.5,33022
2666,23122.5,34671.5,34492
2667,23089.5,34144.5,35312
2668,23438,33164,34722
2669,24145.5,32614.5,33042
2670,25346.5,31958,31327
2671,28165.5,32221,30370.5
2672,30284,33841,28337.5
2673,31062,35453.5,26742
2674,30915.5,33999,25781
2675,31020,32702,25302
2676,31336,31355,25174
2677,30739.5,29302.5,25452.5
2678,30170,27969.5,26522.5
2679,29686,27533.5,29410.5
2680,29311.5,27114.5,32942.5
2681,28656.5,27093.5,33962
2682,28932.5,27278.5,33835
2683,29651,28271,33851
2684,30049.5,30911,34344
2685,29744.5,33572.5,34223.5
2686,29511.5,34334.5,34018.5
2687,27791,34356.5,33696
2688,25291.5,34643,33438.5
2689,23479,34917.5,33262
2690,22549.5,34573,34521.5
2691,22400,33844.5,35112.5
2692,22673.5,33083,34691.5
2693,23501,32411.5,33009.5
2694,25135,31709.5,31452.5
2695,27746,31793,30436
2696,29935.5,32983.5,28312.5
2697,30569,33257.5,26541.5
2698,30160.5,31375.5,25619.5
2699,29847,29776.5,24905.5
2700,29968,28821.5,24868
2701,29202.5,26834,25150
2702,28315.5,25028,26217.5
2703,27572.5,24185,29147.5
2704,27136.5,23553.5,32630.5
2705,26966.5,23254.5,33953.5
2706,27481.5,23244,34003.5
2707,28069,23339,34059
2708,28370,23496,34211
2709,28247,24794,33284.5
2710,28242.5,26566,32752
2711,26779,27770.5,32409.5
2712,24447.5,28592,32112
2713,22376,29064,32047.5
2714,21548.5,28600.5,33685
2715,21241.5,27635,34229
2716,21190,26930.5,33517.5
2717,21379.5,26605,31778.5
2718,21517,26537.5,30193
2719,21596,27478,29669
2720,22578.5,29420.5,27857
2721,23979,29467.5,26205.5
2722,24703,27568.5,25178
2723,24765,26612,24442.5
2724,24626.5,25980.5,24088.5
2725,23809.5,24281,23941.5
2726,22612.5,22737,23617
2727,21661,21935.5,23419.5
2728,21489.5,22049,24974
2729,21472,21968,26948
2730,22345,22296,28442.5
2731,23505.5,22343,29289.5
2732,24007,22333,29814
2733,24112,23077,29525
2734,24467.5,24196,28550.5
2735,23714,25537.5,27815.5
2736,21794.5,27176,27655
2737,20453,28522.5,27816.5
2738,19510,28667,29584
2739,19029.5,27647,30470
2740,19283,26560.5,29763
2741,19455.5,25958.5,28080.5
2742,19627,25713,27041.5
2743,19123,26006,27107
2744,19278,27728,25880
2745,20039.5,28384,24400
2746,21072,27128.5,23312.5
2747,21223.5,26320.5,22565
2748,21864,26149,22175
2749,21315.5,24392.5,21986
2750,20056.5,23380.5,21390.5
2751,19225.5,22728.5,20549
2752,19463,22892,20997.5
2753,19782.5,23372.5,22290.5
2754,20943,23774.5,23812
2755,22368,24860,25027
2756,23117.5,28978.5,26272
2757,23838,32465,26276
2758,24598.5,33430,25354.5
2759,24117.5,33633.5,24630.5
2760,22288.5,33809.5,24459.5
2761,21154,34120,24792
2762,20283.5,33783.5,26878
2763,20290,33706.5,28405
2764,20551,33262.5,28347
2765,21117.5,32766,27359.5
2766,22841,31870,26667.5
2767,26399.5,31989,26939.5
2768,29587,33645.5,25781
2769,31114.5,34410.5,24269.5
2770,31682,32706,23301
2771,32232,31174.5,22884
2772,32710.5,29806,22724
2773,32117.5,27677,23337
2774,31721,26247,24666
2775,31257,25818.5,27623
2776,30680,25387,30764.5
2777,30060.5,25570,31951.5
2778,30166.5,25932.5,32414.5
2779,30094.5,26937.5,33020
2780,30318,30400.5,33627.5
2781,29798,33778,33506
2782,29496.5,34179.5,33256
2783,27577,33513.5,32680.5
2784,25104,33381.5,32354.5
2785,23698.5,33781,31994
2786,23049,33443,33407
2787,22704,33236.5,34282.5
2788,22863,32665,33814
2789,23548.5,32267.5,32330.5
2790,25094,31742.5,31011
2791,27770.5,31912.5,30183
2792,30179.5,33988.5,28153.5
2793,31236,34284.5,26579
2794,30923.5,32546.5,25543
2795,30850,30949.5,25109.5
2796,31115,29505,24988.5
2797,30981,27259,25332.5
2798,30869,25713,26561.5
2799,30356.5,25133.5,29657
2800,30029.5,24857,32992.5
2801,29059,25116.5,34005.5
2802,29063,25651.5,34175
2803,29382,26752,34514
2804,29660.5,30367.5,34735.5
2805,29532.5,33359,34519.5
2806,29344,34136,34466.5
2807,27291.5,33930,34151
2808,24588,34208,33785
2809,23242.5,34489,33516
2810,22545.5,34089.5,35245.5
2811,22366.5,33786.5,35956
2812,22401,33274.5,35408.5
2813,23238.5,32830,33847.5
2814,25057,32200.5,32482
2815,27678.5,32611.5,31894.5
2816,30056.5,34340,30358.5
2817,30831.5,34418,29084
2818,30427,32472.5,28088
2819,30496,30796.5,27422
2820,30716.5,29256.5,26739
2821,30238,27062.5,26693
2822,29900.5,25552,27686
2823,29328,24930,30616
2824,28930.5,24499,34059
2825,28571,24533.5,34949.5
2826,28811.5,25026,35045
2827,29361,26076.5,35341.5
2828,29703.5,29835,35755
2829,29478.5,33165.5,35640
2830,28898,34059.5,35631.5
2831,27045,33782.5,35429.5
2832,24509,34080.5,35277
2833,22895,34470,35342
2834,22205.5,34006,37477.5
2835,21742.5,33587,38412
2836,21864,32954.5,37723.5
2837,22440,32599.5,35852.5
2838,24089,32012,34409.5
2839,27108.5,32351.5,33682
2840,29584.5,34084,32022.5
2841,30318,34185.5,30355
2842,30098.5,32551,29349.5
2843,30187.5,30869.5,28470
2844,30525,29364,27936.5
2845,30139,26956.5,27735.5
2846,29816,25564.5,28469
2847,29432.5,24946.5,31128.5
2848,29270.5,24643,34290
2849,29019.5,24749.5,35263
2850,29321.5,25460.5,35465.5
2851,29826,26500,35944.5
2852,29928,29848,36569
2853,29724.5,33253.5,36608
2854,29512.5,33810,36305
2855,27451.5,33216.5,35776.5
2856,24705,33148,35342.5
2857,22901,33178,34694.5
2858,22476,32571,35826
2859,22105.5,31935,36575
2860,22149,31294.5,35689
2861,22762,30664.5,33910.5
2862,24452,30343.5,32276.5
2863,27701.5,30955,31438.5
2864,30105.5,33252,29564.5
2865,31255.5,33467.5,28007
2866,31993.5,31416.5,26717.5
2867,32707.5,29617,25941
2868,33311,28545,25745.5
2869,32145.5,26454,25799.5
2870,31181,24662,26790.5
2871,30332.5,24132,29331
2872,29849,23741,32554
2873,29450.5,23584.5,33683.5
2874,29614.5,23697.5,34069
2875,29296.5,23511,34262.5
2876,28703.5,23603,34431.5
2877,27729,25178.5,34231.5
2878,27005.5,26572,33587
2879,25382,27625.5,32945.5
2880,23160.5,28328.5,32562.5
2881,21235,28551.5,32348
2882,20158.5,28136.5,34083
2883,19697.5,27300.5,34632
2884,19398.5,26591,33825
2885,19488,26226,31818.5
2886,19276,26157.5,30606
2887,18480,27064.5,30242
2888,19220.5,29032,28859.5
2889,20374,28907,27444
2890,21407,27042,26544
2891,22197,25626,25935
2892,23310.5,25224.5,25719
2893,23036.5,23342,25624
2894,22162,21834,25037
2895,21639,20963.5,24506
2896,21202.5,20514.5,25672
2897,21372.5,20849,27302.5
2898,21736,20874,29050.5
2899,22320.5,20681,29654.5
2900,22344,20612.5,30082
2901,22032,21690.5,29930
2902,22469.5,23040,28997.5
2903,21831,24064,28299.5
2904,20112.5,24914,27797
2905,18687.5,25917,27594
2906,17772,25363.5,29318.5
2907,17364,24184,30672
2908,17580,23556.5,29796
2909,17854,23528,28040.5
2910,18123,23920.5,26959
2911,18060,26462.5,27388.5
2912,19187.5,27029.5,26375.5
2913,20525,26187,25172
2914,21712.5,24815.5,24139
2915,22592,24146.5,23391
2916,23998.5,23843.5,22785
2917,23573.5,21938,22281.5
2918,22525,20904,21808
2919,21832,20517.5,21040
2920,21691,20766,21352
2921,21953,21105,22554.5
2922,22783.5,21713,24160.5
2923,23622,21819,25297
2924,23855,23094.5,26618
2925,23893,24514,26543.5
2926,24123.5,25487,25686.5
2927,23558.5,26054,24840
2928,21666,26363,24591
2929,20437,27078.5,24722
2930,20257.5,26780,26900
2931,19923.5,26327,28953.5
2932,20310.5,25973,28675
2933,21243.5,26011.5,27773.5
2934,22801.5,26823,27151.5
2935,26403.5,29421.5,27772
2936,29680.5,30156,26484
2937,31449,29500,26298.5
2938,31779.5,27989,25536
2939,32402.5,26732.5,25373
2940,33216.5,25938,25160
2941,33066.5,23961,25610.5
2942,32773.5,22550.5,26455.5
2943,32175,22108.5,29574.5
2944,31781,21918,33052
2945,30903,22314,34247.5
2946,30909,23110,34721.5
2947,30758,24512.5,35202
2948,30625.5,28914.5,35465
2949,29913,32170,35368
2950,29208,33297,35282
2951,27286.5,33646,34912
2952,24605,34235,34565.5
2953,23082,34933,33943
2954,22583.5,34594.5,35183
2955,22220,34271,36261
2956,22489.5,33821,35418
2957,23463,33765.5,33779
2958,24548.5,33767,32472
2959,27658.5,35497,31605.5
2960,30598.5,35539.5,30029
2961,32106.5,34559,29011
2962,32203.5,32581,28480.5
2963,32971.5,30790,27869.5
2964,33503.5,29111,27320
2965,33007,26563,27488.5
2966,32233.5,24411,28353
2967,31799.5,24232,30738
2968,31353.5,24126,33982
2969,30698,24560,35288
2970,31100.5,25366.5,35547.5
2971,30575,26372,35997
2972,30072.5,30313,36579.5
2973,29302.5,33378.5,36726.5
2974,29054,34423.5,37007
2975,27359.5,34347,36876.5
2976,25033,34737,36694.5
2977,23615.5,35427.5,36373
2978,23186.5,34919.5,37395.5
2979,22760.5,34375,38176
2980,23030.5,33086,37225.5
2981,23808,33192,35181.5
2982,24631.5,33270.5,33272.5
2983,27516,34971.5,32088.5
2984,30304.5,34923,30350.5
2985,31859.5,33906.5,28801.5
2986,31806.5,32100,27559.5
2987,32133.5,30373,26817
2988,32534,28877,27236
2989,32087,25936,27739.5
2990,31772,24004,28143.5
2991,31087.5,23540.5,30610
2992,30827,23390.5,34271
2993,30179,23895.5,35580.5
2994,30128.5,24731.5,35836.5
2995,30360,25905,36373
2996,30363.5,29586.5,36876.5
2997,29665,32550,36773
2998,29383,33501.5,36562
2999,28282.5,34439.5,36033.5
3000,25935,34780,35757
3001,24340.5,35210.5,35418
3002,23760.5,35134,36443
3003,23461.5,35055.5,37686.5
3004,23544.5,34737.5,36515
3005,24273,34380,34180
3006,25543,34692,32364
3007,28757,36132,31223
3008,31703,36418,29162.5
3009,33383.5,35851.5,27630
3010,33922,34022,27187.5
3011,34667,32404.5,26996
3012,35414.5,30880.5,26764.5
3013,35399.5,28309,26686
3014,35079.5,27113.5,27481.5
3015,34417.5,26368,30077.5
3016,33836,25906.5,33353
3017,32751,25973,34242
3018,32648,26735.5,34296.5
3019,32566,28310,34460
3020,32325.5,32059,34595
3021,31324.5,34494,34292
3022,30453.5,34955.5,33983.5
3023,28585.5,34553.5,33500
3024,26210,34786.5,33266
3025,24662.5,35155,32900
3026,23991.5,34516.5,34223
3027,23629.5,33927,35780.5
3028,23769.5,33286,35023
3029,24231.5,33077.5,33257
3030,25110,33236.5,31736.5
3031,27895,34838.5,30754.5
3032,30919.5,34672,28703.5
3033,32438.5,33457.5,27276.5
3034,32831,31232,26694.5
3035,33438,29364,26429.5
3036,33709,28086.5,26527.5
3037,33182,26095.5,27096
3038,32076.5,24161,27797
3039,31158.5,23188.5,30207
3040,30680,22925.5,33576
3041,30118.5,23212,34516
3042,30129,23382.5,34434
3043,29948,23554.5,34852
3044,29628,23757,35036
3045,28848,24966.5,34860
3046,28414,26292,34116.5
3047,27096.5,27748,33357
3048,24877.5,28772,32848.5
3049,23114.5,29451.5,32613.5
3050,22243,28678.5,34112
3051,21702.5,27829,34989
3052,21853.5,27155,33985
3053,22111.5,27048.5,32008.5
3054,22059.5,27766,30361
3055,22203.5,29818.5,29739
3056,23220.5,30043,27977
3057,24713.5,29024,26410
3058,25834.5,26925.5,25427
3059,26317,25596.5,24648
3060,27114,25136.5,24445.5
3061,26711,23570.5,24268
3062,25620,21887,24094
3063,24379,21189.5,23569
3064,24040,20872.5,24676
